Run Time,,POINTS,,,,,,,
,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56
13:00,,100,100,,,,,,
13:06,,99,99,,,,,,
13:12,,97,98,,,,,,
13:18,,96,97,100,100,,,,
13:24,,94,96,99,99,,,,
13:30,,93,94,98,98,,,,
13:36,,92,93,97,97,100,,,
13:42,,90,92,96,96,99,,,
13:48,,89,91,95,95,98,,,
13:54,,88,90,94,95,97,,,
14:00,,86,89,92,94,97,,,
14:06,,85,88,91,93,96,100,,
14:12,,83,87,90,92,95,99,,
14:18,,82,86,89,91,94,98,,
14:24,,81,84,88,90,93,97,100,
14:30,,79,83,87,89,92,97,99,
14:36,,78,82,86,88,91,96,98,
14:42,,77,81,85,87,91,95,98,100
14:48,,75,80,84,86,90,94,97,99
14:54,,74,79,83,85,89,93,96,98
15:00,,72,78,82,85,88,92,95,98
15:06,,71,77,81,84,87,91,95,97
15:12,,70,76,79,83,86,90,94,96
15:18,,68,74,78,82,86,89,93,95
15:24,,67,73,77,81,85,89,92,95
15:30,,66,72,76,80,84,88,91,94
15:36,,64,71,75,79,83,87,91,93
15:42,,63,70,74,78,82,86,90,92
15:48,,61,69,73,77,81,85,89,91
15:54,,60,68,72,76,80,84,88,91
16:00,,59,67,71,75,80,83,87,90
16:06,,57,66,70,75,79,83,87,89
16:12,,56,64,69,74,78,82,86,88
16:18,,54,63,68,73,77,81,85,87
16:24,,53,62,66,72,76,80,84,87
16:30,,52,61,65,71,75,79,84,86
16:36,,50,60,64,70,74,78,83,85
16:42,,49,59,63,69,74,77,82,84
16:48,,48,58,62,68,73,77,81,84
16:54,,46,57,61,67,72,76,80,83
17:00,,45,56,60,66,71,75,80,82
17:06,,43,54,59,65,70,74,79,81
17:12,,42,53,58,65,69,73,78,80
17:18,,41,52,57,64,69,72,77,80
17:24,,39,51,56,63,68,71,76,79
17:30,,38,50,55,62,67,70,76,78
17:36,,37,49,54,61,66,70,75,77
17:42,,35,48,52,60,65,69,74,76
17:48,,34,47,51,59,64,68,73,76
17:54,,32,46,50,58,63,67,73,75
18:00,,31,44,49,57,63,66,72,74
18:06,,30,43,48,56,62,65,71,73
18:12,,28,42,47,55,61,64,70,73
18:18,,27,41,46,55,60,63,69,72
18:24,,26,40,45,54,59,63,69,71
18:30,,24,39,44,53,58,62,68,70
18:36,,23,38,43,52,57,61,67,69
18:42,,21,37,42,51,57,60,66,69
18:48,,20,36,41,50,56,59,65,68
18:54,,19,34,39,49,55,58,65,67
19:00,,18,33,38,48,54,57,64,66
19:06,,17,32,37,47,53,57,63,65
19:12,,14,31,36,46,52,56,62,65
19:18,,13,30,35,45,51,55,62,64
19:24,,12,29,34,45,51,54,61,63
19:30,,10,28,33,44,50,53,60,62
19:36,,9,27,32,43,49,52,59,62
19:42,,8,26,31,42,48,51,58,61
19:48,,6,24,30,41,47,50,58,60
19:54,,5,23,29,40,46,50,57,59
20:00,,3,22,28,39,46,49,56,58
20:06,,2,21,25,38,45,48,55,58
20:12,,1,20,24,37,44,47,55,57
20:18,,0,19,23,36,43,46,54,56
20:24,,0,18,22,35,42,45,53,55
20:30,,0,17,21,35,41,44,52,55
20:36,,0,16,20,34,40,43,51,54
20:42,,0,14,19,33,40,43,51,53
